label,changeNum,attribute,methodDeclaration,methodRenaming,returnType,parameterDelete,parameterInsert,parameterRenaming,parameterTypeChange,containReturn,lineNumOfOldCode,lineNumOfOldComment,lineNumOfNewCode,TODOCount,FIXMECount,XXXCount,BUGCount,VERSIONCount,FIXEDCount,commentByCCSet,lineNumOfChanged,changedLineByAllCodeLine,ifInsert,ifUpdate,ifMove,ifDelete,forInsert,forUpdate,forMove,forDelete,foreachInsert,foreachUpdate,foreachMove,foreachDelete,whileInsert,whileUpdate,whileMove,whileDelete,catchInsert,catchUpdate,catchMove,catchDelete,tryInsert,tryUpdate,tryMove,tryDelete,throwInsert,throwUpdate,throwMove,throwDelete,methodInvInsert,methodInvUpdate,methodInvMove,methodInvDelete,assignInsert,assignUpdate,assignMove,assignDelete,varDecInsert,varDecUpdate,varDecMove,varDecDelete,elseInsert,elseUpdate,elseMove,elseDelete,NN,VB,DT,IN,JJ,RB,PRP,MD,LS,RP,NN.1,VB.1,DT.1,IN.1,JJ.1,RB.1,PRP.1,MD.1,LS.1,RP.1,bothHavePairNumChange,cmt2cd_sim_change,cmt2ch_sim,sim_change,all_token_change_sim
0,1,0,0,0,0,0,0,0,0,1,10,3,10,0,0,0,0,1,0,0.23,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.08,0.25,0.17,0.08,0.0,0.0,0.0,0.0,0.0,0.29,0.08,0.0,0.08,0.13,0.0,0.0,0.0,0.0,0.0,0,0.01238,0.42666,1.238,0.0
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.0,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,2.08,1.67,0.0,0.0,2.5,1.25,0.0,0.0,0.0,0.0,2,0.13159,0.0,13.159,95.82408
0,1,0,0,0,0,0,0,0,0,1,8,8,9,0,0,0,0,0,0,0.5,1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.13,0.11,0.13,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02737,0.55392,2.737,4.42785
0,1,0,0,0,0,0,0,0,1,1,3,5,3,0,0,0,0,0,0,0.62,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.12,0.0,0.18,0.29,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01474,0.60484,1.474,4.11143
0,1,0,0,0,0,0,0,0,0,1,7,1,7,0,0,0,0,0,0,0.12,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.17,0.0,0.17,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02611,0.42428,2.611,0.0
0,1,0,0,0,0,0,0,0,0,1,23,4,23,0,0,0,0,0,0,0.15,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.29,0.29,0.21,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.17,0.07,0.0,0.01,0.08,0.02,0.0,0.01,0.0,0.0,0,0.00238,0.25031,0.238,0.0
1,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0.2,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.14,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,4.05,1.19,0.0,1.43,0.0,1.43,0.0,0.0,0.0,0.0,1,0.03967,0.0,3.967,140.58577
1,1,0,0,0,0,0,0,0,0,1,3,5,3,0,0,0,0,0,0,0.62,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.17,0.33,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00314,0.45,0.314,0.0
0,1,0,0,0,0,0,0,0,0,0,11,5,11,0,0,0,0,0,0,0.31,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.21,0.13,0.16,0.08,0.03,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00792,0.42394,0.792,0.0
1,1,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,0,0,0.75,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.08,0.16,0.16,0.04,0.0,0.04,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0,0.00855,0.7377,0.855,47.33688
